org.argouml.model.XmiWriter	  xmi writer xmi writer set xmi extension writer write  
org.argouml.core.propertypanels.ui.UMLStereotypeBaseClassListModel	  uml stereotype base class list model uml stereotype base class list model   valid element build model list  
org.argouml.sequence2.diagram.ActionSetAddMessageMode	  action set add message mode action set add message mode  
org.argouml.persistence.XmiFormatException	  xmi format exception xmi format exception  
org.argouml.notation.providers.uml.NotationUtilityUml	  notation utility uml notation utility uml get visibility   value set derived generate stereotype generate classifier ref generate uninterpreted generate action sequence index of next checked semicolon parse model element generate expression generate parameter format name list format name list generate multiplicity generate visibility  parse param list format stereotype generate tagged value generate action generate path set param kind generate kind init set properties get type attribute special strings attribute custom separator operation special strings operation custom separator parameter custom separator list separator visibilitychars  assertions disabled  
org.argouml.profile.internal.ocl.uml14.OclAPIModelInterpreter	  ocl a p i model interpreter ocl a p i model interpreter get built in symbol invoke feature  
org.argouml.uml.ui.behavior.common_behavior.ActionNewReturnAction	  action new return action action new return action create action get button instance get instance singleton  
org.argouml.uml.diagram.state.ui.SelectionState	  selection state selection state get instructions get new node get icons get new edge type get new node type   reverse edge set outgoing button enabled set incoming button enabled transitions icons instructions show incoming show outgoing  
org.argouml.uml.diagram.static_structure.ui.FigClass	  figure class figure class update name text make selection set enclosing figure build modifier pop up construct figures get previous visible feature get next visible feature clone  
org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter	  class diagram layouter class diagram layouter     get objects place nodes get v gap get h gap setup links place edges place node x center get minimum diagram size rank and weight nodes center parents add remove get object layout e gap h gap   maximum row width v gap diagram figure nodes layout class nodes layout edges layout objects node rows x position y position  
org.argouml.model.mdr.KindsMDRImpl	  kinds mdr implement kinds mdr implement get classifier get entry point get shallow history get sequential get return parameter get out parameter get in out parameter get in parameter get deep history get concurrent get changeable get guarded get fork get frozen get initial get add only get aggregate get choice get join get junction get none get ordered get private get protected get public get unordered get exit point get terminate get instance get package get composite model implement  
org.argouml.cognitive.ui.GoListToOffenderToItem	  go list    offender    item go list    offender    item get children list get child   leaf get child count add tree model listener get index of child remove tree model listener value for path changed last parent cached children list  
org.argouml.uml.diagram.use_case.ui.InitUseCaseDiagram	  init use case diagram init use case diagram get project settings tabs get details tabs get settings tabs init  
org.argouml.application.events.ArgoNotationEvent	  argo notation event argo notation event get event start range  
org.argouml.uml.ui.behavior.common_behavior.ActionAddContextSignal	  action add context signal action add context signal do it get choices get selected get dialog title  
org.argouml.ui.explorer.rules.GoStateToOutgoingTrans	  go state    outgoing transitions go state    outgoing transitions get dependencies get rule name get children  
org.argouml.uml.cognitive.critics.CrWrongDepEnds	  critic wrong dep ends critic wrong dep ends compute offenders still valid    do item predicate      uid  
org.argouml.uml.diagram.static_structure.ui.FigInterface	  figure interface figure interface update listeners class name and bounds make selection set enclosing figure initialize    
org.argouml.uml.cognitive.critics.CrNodesOverlap	  critic nodes overlap critic nodes overlap compute offenders still valid    do item get criticized design materials predicate   
org.argouml.uml.diagram.state.ui.InitStateDiagram	  init state diagram init state diagram get project settings tabs get details tabs get settings tabs init  
org.argouml.uml.generator.GeneratorManager	  generator manager generator manager get languages get code path get generator get generator find language add generator remove generator remove generator get curr language get curr generator get generators get instance   instance generators curr language  
org.argouml.ui.explorer.rules.GoClassToSummary	  go class    summary go class    summary get dependencies has inheritance has incoming dependencies has out going dependencies get rule name get children  
org.argouml.uml.cognitive.critics.WizNavigable	  wizard navigable wizard navigable set instructions get options do action make panel can finish   instructions option  option  option  step      uid  
org.argouml.model.euml.CommonBehaviorFactoryEUMLImpl	  common behavior factory e uml implement common behavior factory e uml implement create object create reception create link create signal create signal build link build action build signal create action sequence create argument create attribute link create call action create create action create data value create destroy action create exception create link end create link object create node instance create return action create send action create stimulus build call action build stimulus build reception create component instance create subsystem instance create terminate action create uninterpreted action create uninterpreted action build uninterpreted action model implement  
org.argouml.uml.diagram.collaboration.ui.FigClassifierRole	  figure classifier role figure classifier role get notation provider type set line color set line width get fill color set fill color set filled update stereotype text make selection set standard bounds create big port figure   filled init classifier role figures clone get minimum size get line width get line color update layout default height default width padding cover  
org.argouml.cognitive.ui.KnowledgeTypeNode	  knowledge type node knowledge type node get type list    string get name types name  
org.argouml.core.propertypanels.ui.UMLExpressionExpressionModel	  uml expression expression model uml expression expression model get expression set expression new expression  assertions disabled  
org.argouml.ui.explorer.rules.GoModelToNode	  go model    node go model    node get dependencies get rule name get children  
org.argouml.cognitive.ui.ActionOpenGoals	  action open goals action open goals action performed  
org.argouml.core.propertypanels.ui.UMLChangeExpressionModel	  uml change expression model uml change expression model get expression set expression new expression    
org.argouml.model.mdr.XmiHeaderProviderImpl	  xmi header provider implement xmi header provider implement write header uml        
org.argouml.kernel.UmlModelMutator	  uml model mutator uml model mutator  
org.argouml.kernel.AbstractProjectMember	  abstract project member abstract project member get zip name get   diagram name get zip file extension make   name    string remove get type   name project  
org.argouml.uml.ui.behavior.state_machines.UMLChangeExpressionModel	  uml change expression model uml change expression model get expression set expression new expression    
org.argouml.model.euml.ExtensionMechanismsHelperEUMLImpl	  extension mechanisms helper e uml implement extension mechanisms helper e uml implement get stereotype get stereotype get stereotypes get stereotypes set data values   stereotype add base class apply profile set tag type get all possible stereotypes get common tagged value types make profile applicable get meta model name get meta model name   valid stereotype add copy stereotype   stereotype inh add extended element remove base class set value of tag add tagged value remove tagged value set tagged value set tagged value unapply profile has stereotype postprocess property value get metaclass get default value for get all stereotypes in set type set icon ptype boolean name ptype integer name ptype string name ptype unatural name model implement common tagged value types  
org.argouml.ui.HelpBox	  help box help box hyperlink update   tabs panes pages     uid  
org.argouml.uml.cognitive.critics.CrConflictingComposites	  critic conflicting composites critic conflicting composites predicate   
org.argouml.gefext.ArgoModeCreateFigLine	  argo mode create figure line argo mode create figure line instructions create new item  
org.argouml.uml.ui.foundation.core.ActionAddEnumerationLiteral	  action add enumeration literal action add enumeration literal action performed     uid  
org.argouml.core.propertypanels.ui.SwingUIFactory	  swing ui factory swing ui factory create gui build list add control create control build textbox panel build combo panel build check group build option box build single row build text area add create buttons build check box create label    
org.argouml.cognitive.ui.ActionGoToCritique	  action go    critique action go    critique action performed item  
org.argouml.uml.ui.UMLTextField2	  uml text field  uml text field  get targettable model property change     uid  
org.argouml.uml.ui.foundation.core.ActionSetModelElementVisibility	  action set model element visibility action set model element visibility get instance action performed singleton public command protected command private command package command  
org.argouml.ui.cmd.NavigateTargetBackAction	  navigate target back action navigate target back action   enabled action performed     uid  
org.argouml.model.mdr.UndoCommonBehaviorHelperDecorator	  undo common behavior helper decorator undo common behavior helper decorator  
org.argouml.uml.ui.behavior.state_machines.PopupMenuNewEvent	  popup menu new event popup menu new event build menu     uid  assertions disabled  
org.argouml.cognitive.ui.ToDoByGoal	     do by goal    do by goal    do items changed    do items added    do items removed    do list changed    
org.argouml.uml.CommentEdge	  comment edge comment edge get u uid get annotated element set destination set annotated element    string delete get source set source get destination get comment set comment source destination uuid comment annotated element  
org.argouml.ui.AbstractArgoJPanel	  abstract argo j panel abstract argo j panel  
org.argouml.ui.explorer.rules.GoNamespaceToClassifierAndPackage	  go namespace    classifier and package go namespace    classifier and package get dependencies get rule name get children  
org.argouml.persistence.MemberFilePersister	  member file persister member file persister add xml file    writer get main tag load load load save  
org.argouml.uml.diagram.static_structure.ui.SelectionException	  selection exception selection exception get new node get new node type  
org.argouml.uml.ui.ActionUseCaseDiagram	  action use case diagram action use case diagram   valid namespace create diagram create diagram    
org.argouml.uml.diagram.state.ui.FigConcurrentRegion	  figure concurrent region figure concurrent region set line color set line width get fill color set fill color set filled get pop up actions get use trap rectangle make selection set standard bounds   filled get initial x get initial y get initial width get initial height get initial color clone initialize get minimum size set bounds set bounds set bounds mouse dragged mouse moved mouse pressed mouse released get line width set layer get line color model changed update layout inset horz inset vertical cover dividerline current handle     uid  
org.argouml.uml.diagram.ui.FigNodeModelElement	  figure node model element figure node model element remove from diagram rendering changed allow remove from diagram get notation provider type get project     get settings delayed vetoable change init notation providers update element listeners notation provider added notation provider removed remove from diagram implement remove element listener remove all element listeners remove element listeners notation rendering changed calculate bounds set line width set owner get tip string get popup add offset notation added notation removed get remove delegate add element listeners diagram font changed get name figure font style deep update font get name figure set item uid get item uid hit clarifier text edited show help update font set di element get di element set project set settings get big port get notation settings get notation settings add element listener add element listener add element listener paint clarifiers get name bounds get stereotype figure text edit started update name text update stereotype text update listeners notation changed class name and bounds delete from model get enclosed figures get enclosing figure get pop up actions make selection set bounds implement set enclosing figure build modifier pop up set standard bounds create big port figure construct figures create stereotype figure build show pop up build visibility pop up remove enclosed figure add enclosed figure move into component stereotype changed update stereotype icon   partly owner   partly owner   path visible set path visible get stereotype view get practical view update small icons enable size checking   drag connectable   ready    edit set ready    edit   single target get stereotype style get stereotype count set stereotype view set stereotype style place string bind port set big port set name figure update bounds format event   check size set encloser get encloser displace     determine default path visible create contained model element set suppress calculate bounds clone get name set name   read only get owner get minimum size set visible key pressed key released key typed mouse clicked property change hit   editable set editable set layer vetoable change model changed update layout   width name figure height name v padding di element notation provider name invisible allowed check size popup add offset root abstract leaf active big port name figure stereotype figure stereotype figure profile icon floating stereotypes stereotype style icon width original name figure enclosed figures encloser ready    edit suppress calculate bounds show bold name item uid remove from diagram editable listeners settings notation settings  assertions disabled  
org.argouml.uml.cognitive.critics.CrNameConflict	  critic name conflict critic name conflict compute offenders still valid    do item get criticized design materials predicate   
org.argouml.uml.cognitive.critics.CrMultipleDeepHistoryStates	  critic multiple deep history states critic multiple deep history states compute offenders still valid    do item get criticized design materials predicate        uid  
org.argouml.uml.diagram.DiagramUndoManager	  diagram undo manager diagram undo manager add memento   generate mementos start chain add property change listener   start chain  
org.argouml.profile.internal.ModelUtils	  model utilities model utilities find type in model  
org.argouml.uml.diagram.ui.FigCompartment	  figure compartment figure compartment set line color set line width get filled set fill color set filled populate get big port set bounds implement get notation type construct figures add figure set external separator figure bounds   filled get compartment type get separator figure create model element get uml collection create figure text create figure text create figure text get element figures find compartment figure set edit on redraw update figure group size get name get minimum size set visible   big port minimum height external separator figure edit on redraw  
org.argouml.uml.diagram.deployment.ui.SelectionNode	  selection node selection node get instructions get new node get icons get new edge type get new node type   reverse edge association icon icons instructions  
org.argouml.model.ModelManagementHelper	  model management helper model management helper set specification get all model elements of kind with model get all surrounding namespaces get all behavioral features get all model elements of kind get all model elements of kind get path list set alias get all contents get all sub systems get all namespaces   cyclic ownership set imported elements get all imported elements get all possible imports remove imported element   read only get contents get element get element get root elements friend stereotype import stereotype   stereotype  
org.argouml.kernel.ActionList	  action list action list get value add property change listener   enabled remove property change listener set enabled action performed put value dummy action  
org.argouml.notation.providers.uml.ModelElementNameNotationUml	  model element name notation uml model element name notation uml get parsing help generate visibility    string    string parse  
org.argouml.model.mdr.UseCasesHelperMDRImpl	  use cases helper mdr implement use cases helper mdr implement get extends get extends get includes get includes get all actors remove extend set addition add extend add include set condition set extension set includes set use case get all use cases get extended use cases get included use cases get specification path add extension point add extension point remove extension point remove include set extension points set location set base equal model implement  
org.argouml.util.EnumerationIterator	  enumeration iterator enumeration iterator has next next remove enumeration  
org.argouml.uml.reveng.FileImportUtils	  file import utilities file import utilities matches suffix get list  
org.argouml.ui.SystemInfoDialog	  system information dialog system information dialog         run g c action performed copy action performed update information get information     uid inset px information run g c button copy button default clipboard owner  assertions disabled  
org.argouml.uml.diagram.state.ui.FigJoinState	  figure join state figure join state set line color set line width get fill color set fill color set filled init figures set standard bounds create big port figure   filled clone mouse clicked get line width get line color x y state width height head     uid  
org.argouml.notation.NotationNameImpl	  notation name implement notation name implement find notation fire event make notation get notation get notation remove notation same notation as get configuration value get available notations get notation name string    string get name get title get   get icon   name   icon notations  
org.argouml.uml.diagram.ui.ActionModifierActive	  action modifier active action modifier active value of target toggle value of target     uid  
org.argouml.uml.diagram.ui.ModeCreatePermission	  mode create permission mode create permission get meta type  
org.argouml.kernel.ProjectImpl	  project implement project implement  
org.argouml.ui.explorer.rules.GoProfileConfigurationToProfile	  go profile configuration    profile go profile configuration    profile get dependencies get rule name get children  
org.argouml.ui.explorer.rules.GoProjectToModel	  go project    model go project    model get dependencies get rule name get children  
org.argouml.uml.diagram.collaboration.ui.ActionAddClassifierRole	  action add classifier role action add classifier role make node     uid  
org.argouml.state2.StateDiagramPropPanelFactory	  state diagram property panel factory state diagram property panel factory create property panel create property panel  
org.argouml.uml.ui.ActionClassDiagram	  action class diagram action class diagram   valid namespace create diagram create diagram       uid  
org.argouml.cognitive.ui.GoListToTypeToItem	  go list    type    item go list    type    item get child   leaf get child count add tree model listener get index of child remove tree model listener value for path changed  
org.argouml.uml.cognitive.critics.CrNonAggDataType	  critic non aggregate data type critic non aggregate data type get criticized design materials predicate   
org.argouml.ui.explorer.rules.GoSignalToReception	  go signal    reception go signal    reception get dependencies get rule name get children  
org.argouml.uml.ui.ActionNavigateOppositeAssocEnd	  action navigate opposite association end action navigate opposite association end   enabled navigate        uid  
org.argouml.uml.diagram.ArgoDiagramImpl	  argo diagram implement argo diagram implement get namespace rendering changed get project notation provider added notation provider removed notation added notation removed diagram font changed set item uid get item uid set project notation changed set namespace encloser changed get edges get nodes repair repair figure set model element namespace get diagram settings constructor init get veto message get containing figure figure description presentations for get dependent element get figure iterator set diagram settings    string remove set name get owner property change vetoable change damage id project namespace settings       uid  
org.argouml.uml.diagram.ui.ActionStereotypeViewTextual	  action stereotype view textual action stereotype view textual  
org.argouml.profile.internal.ocl.ComputeDesignMaterials	  compute design materials compute design materials get criticized design materials case a classifier context   dms  
org.argouml.model.euml.StateMachinesFactoryEUMLImpl	  state machines factory e uml implement state machines factory e uml implement build call event build call event build change event build change event build signal event build signal event build time event build time event build composite state build composite state on state machine create call event create change event create composite state create final state create pseudostate create signal event create simple state create state machine create stub state create synch state create time event create transition create transition build state machine build transition build transition build pseudo state build synch state build stub state build simple state build final state build sub machine state create guard build guard create sub machine state build internal transition model implement  
org.argouml.uml.diagram.ProjectMemberDiagram	  project member diagram project member diagram get diagram repair get zip file extension set diagram get type member type file ext diagram  
org.argouml.notation.providers.NodeInstanceNotation	  node instance notation node instance notation initialise listener  
org.argouml.model.euml.XmiReaderEUMLImpl	  xmi reader e uml implement xmi reader e uml implement add search path remove search path get search path get header get xmi u uid    object map get ignored element count set ignored elements get ignored elements   u m l     u m l  parse get tag name   model implement search dirs resource  
org.argouml.uml.diagram.ui.ActionRemoveFromDiagram	  action remove from diagram action remove from diagram action performed  
org.argouml.uml.ui.UMLModelElementStereotypeListModel	  uml model element stereotype list model uml model element stereotype list model   valid element build model list build popup get check item  
org.argouml.uml.ui.ActionNewDiagram	  action new diagram action new diagram   valid namespace create collaboration create diagram create diagram find namespace action performed    assertions disabled  
org.argouml.core.propertypanels.ui.UMLPlainTextDocument	  uml plain text document uml plain text document set event name update text get event name   firing set firing set property internal get property remove set property get target set target property change insert string   firing editing target event name  
org.argouml.ui.explorer.rules.GoSummaryToOutgoingDependency	  go summary    outgoing dependency go summary    outgoing dependency get dependencies get rule name get children  
org.argouml.model.euml.ModelManagementFactoryEUMLImpl	  model management factory e uml implement model management factory e uml implement copy package build element import build element import create element import create element import create package create package create profile create profile create subsystem create model create model set root model get root model get root model build package build package model implement editing domain the root model  
org.argouml.uml.diagram.ui.FigEdgeModelElement	  figure edge model element figure edge model element  
org.argouml.ui.cmd.ActionAdjustSnap	  action adjust snap action adjust snap create adjust snap actions init action performed set group guide size default id my group  
org.argouml.model.PseudostateKind	  pseudostate kind pseudostate kind get entry point get shallow history get deep history get fork get initial get choice get join get junction get exit point get terminate  
org.argouml.model.euml.CoreHelperEUMLImpl	  core helper e uml implement core helper e uml implement set attributes add comment add parameter add parameter get body set owner   sub type set container set resident set namespace set abstract set leaf set navigable set ordering set child set query set kind set body set body get association end get association end get generalization get generalization set specification set specification set specification set visibility set multiplicity set multiplicity set multiplicity set association set aggregation set target scope set changeability set concurrency get associations get associations get parents get subtypes get flows get all nodes add client add feature add feature add literal add link add qualifier add supplier set features set static set power type set residents set sources get all behavioral features get behavioral features get realized interfaces get extended classifiers get extending classifiers get associated classifiers get all visible elements get first shared namespace get first shared namespace get all possible namespaces get all realized interfaces equals aggregation kind remove annotated element remove client dependency remove supplier dependency remove template argument remove template parameter add deployment location remove element residence add supplier dependency set model element container remove deployment location set enumeration literals get all meta datatype names add stereotype get supertypes set tagged value get all supertypes get utilized elements set default element get specification get associate ends inh remove feature remove literal set operations get attributes inh get operations inh get return parameters get all interfaces get all classes get extending elements get all components get all data types get all classifiers get all attributes get dependencies get package imports get package import get relationships   valid namespace has composite end remove connection remove constraint remove owned element remove qualifier remove source flow remove target flow add annotated element add client dependency add connection add connection add constraint add element residence add manifestation add owned element add owned element add raised signal add raised exception add source flow add target flow add template argument add template argument add template parameter add template parameter set aggregation  set aggregation  set annotated elements set raised signals set connections set discriminator set qualifiers set specifications add all stereotypes remove stereotype clear stereotypes get all metatype names parse multiplicity get runnable class for add command get runnable class for add command get runnable class for remove command set read only set name set parent set initial value set type get source set parameters set active get destination add method remove parameter set parameter set feature get children set root set default value   model implement editing domain  
org.argouml.swingext.UpArrowIcon	  up arrow icon up arrow icon get icon height get icon width paint icon  
org.argouml.uml.diagram.ui.ActionModifierLeaf	  action modifier leaf action modifier leaf value of target toggle value of target     uid  
org.argouml.ui.explorer.rules.GoPackageToClass	  go package    class go package    class get dependencies get rule name get children  
org.argouml.uml.generator.TempFileUtils	  temp file utilities temp file utilities read all files delete directory traverse directory read file names create temp directory    
org.argouml.ocl.ArgoFacade	  argo facade argo facade get classifier target  
org.argouml.sequence2.diagram.FigLifeLine	  figure life line figure life line     uid line figure rectangle figure activations stacked activations width height  
org.argouml.persistence.UmlVersionException	  uml   exception uml   exception  
org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer	  class diagram renderer class diagram renderer get figure node for get figure edge for     uid    assertions disabled  
org.argouml.ui.explorer.rules.GoTransitiontoEffect	  go transition    effect go transition    effect get dependencies get rule name get children  
org.argouml.core.propertypanels.ui.XmlPropertyPanel	  xml property panel xml property panel add remove remove notify value changed   selected list  
org.argouml.uml.diagram.ui.ModeAddToDiagram	  mode add    diagram mode add    diagram instructions get initial cursor key typed mouse released     uid model elements add related edges instructions    
org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl	  common behavior factory mdr implement common behavior factory mdr implement create object create object create reception create reception create link create link get cb package create signal create signal build link build link build action build action build signal build signal delete action delete link delete object delete signal create action sequence create action sequence create argument create argument create attribute link create attribute link create call action create call action create create action create create action create data value create data value create destroy action create destroy action create exception create exception create link end create link end create link object create link object create node instance create node instance create return action create return action create send action create send action create stimulus create stimulus build call action build call action build signal int build stimulus build stimulus build reception build reception delete action sequence delete argument delete attribute link delete call action delete create action delete data value delete destroy action delete exception delete instance delete link end delete link object delete node instance delete reception delete return action delete send action delete stimulus create component instance create component instance create subsystem instance create subsystem instance create terminate action create terminate action create uninterpreted action create uninterpreted action build uninterpreted action build uninterpreted action delete component instance delete subsystem instance delete terminate action delete uninterpreted action model implement  
org.argouml.uml.cognitive.critics.ProfileCodeGeneration	  profile code generation profile code generation get profile   get critics load critics get display name critics critic missing class name critic disambiguous class name critic no transitions critic no incoming transitions critic no outgoing transitions critic compound constructor needed cls naming no trans  no trans   
org.argouml.ui.explorer.rules.GoMessageToAction	  go message    action go message    action get dependencies get rule name get children  
org.argouml.uml.diagram.static_structure.ui.SelectionClass	  selection class selection class  
org.argouml.uml.ui.ActionNavigateUpNextDown	  action navigate up next down action navigate up next down get parent get family navigate     assertions disabled  
org.argouml.i18n.Translator	  translator translator localize localize message format get system default locale init internal get locales init for eclipse add class loader get name init set locale set locale load bundle   bundles path bundles class loaders initialized system default locale  assertions disabled  
org.argouml.uml.ui.foundation.core.ActionAddClientDependencyAction	  action add client dependency action action add client dependency action do it get choices get selected get dialog title  
org.argouml.model.euml.StateMachinesHelperEUMLImpl	  state machines helper e uml implement state machines helper e uml implement find operation by name get transitions get state machine add deferrable event set do activity set state machine remove deferrable event set internal transitions set exit set context set effect set container get top   adding statemachine allowed get all possible statemachines get all possible subvertices set statemachine as sub machine find namespace for event   top state add subvertex set guard set when set event as trigger get outgoing states get all sub states remove subvertex set concurrent set expression set subvertices set change expression get stateby name set reference state get regions get path set state get source set source get destination set trigger set entry set bound   model implement  
org.argouml.ui.DetailsPane	  details pane details pane set    do item target set target added target removed fire target added fire target removed fire target set my double click my single click add target listener get tab has tabs get index of named tab select tab named remove target listener select props tab enable tabs get tabs load tabs remove tab get tab props add    property tab get target set target get minimum size mouse clicked mouse entered mouse exited mouse pressed mouse released state changed set orientation add tab get tab count   top level tabbed pane current target tab panel list last non null tab listener list orientation has tabs up arrow icon left arrow icon  
org.argouml.ui.explorer.ActionManageProfiles	  action manage profiles action manage profiles action performed dialog profiles tab  
org.argouml.uml.diagram.state.ui.FigStateVertex	  figure state vertex figure state vertex make selection set enclosing figure get circle gravity points redraw enclosed figures circle points  
org.argouml.model.CoreFactory	  core factory core factory create association class create element residence build element residence create enumeration literal build enumeration literal create template argument create template parameter build association class build template argument build template argument build template parameter copy feature copy data type create class build class build class build class build class create flow create method create node create usage build method build usage build comment build binding copy class create abstraction build abstraction create artifact create association create association create association end create binding create constraint create data type create dependency create enumeration create generalization create generalization create interface create operation create parameter create permission create package import create primitive type build association build association build association build association build association end build association end build association end build attribute build attribute  build attribute  build interface build interface build interface build interface build data type build enumeration build dependency build package import build package   build generalization build manifestation build operation build parameter build operation  build realization build constraint build constraint copy interface create component create attribute create comment realize stereotype  
org.argouml.ui.explorer.rules.GoAssocRoleToMessages	  go association role    messages go association role    messages get dependencies get rule name get children  
org.argouml.uml.ui.behavior.common_behavior.ActionNewDestroyAction	  action new destroy action action new destroy action create action get button instance get instance singleton  
org.argouml.model.mdr.ModelManagementHelperMDRImpl	  model management helper mdr implement model management helper mdr implement set specification get all model elements of kind with model get all surrounding namespaces get all behavioral features get all model elements of kind get all model elements of kind contained get path list set alias get all contents get all contents get all sub systems get all namespaces   cyclic ownership get owner ship path set imported elements get all imported elements get all imported elements get all possible imports remove imported element   read only get contents get contents get contents get contents get contents get contents get contents get contents get element get element get root elements   model implement  
org.argouml.uml.ui.foundation.core.UMLAssociationEndTargetScopeCheckbox	  uml association end target scope checkbox uml association end target scope checkbox build model  
org.argouml.ui.explorer.rules.GoTransitionToGuard	  go transition    guard go transition    guard get dependencies get rule name get children  
org.argouml.cognitive.ui.InitCognitiveUI	  init cognitive ui init cognitive ui get project settings tabs get details tabs get settings tabs init  
org.argouml.util.osdep.StartBrowser	  start browser start browser open url open url    
org.argouml.model.mdr.ExtensionMechanismsFactoryMDRImpl	  extension mechanisms factory mdr implement extension mechanisms factory mdr implement build stereotype build stereotype build stereotype build stereotype build stereotype build stereotype build stereotype get tag definition copy tagged values build tagged value build tagged value build tagged value build tagged value build tagged value copy stereotype copy tag definition create stereotype delete stereotype delete tagged value delete tag definition create tagged value create tagged value build tag definition build tag definition build tag definition build tag definition copy tagged value do copy stereotype create tag definition do copy tag definition model implement extension helper  
org.argouml.model.mdr.CollectionHelper	  collection helper collection helper update  
org.argouml.ui.explorer.rules.GoGeneralizableElementToSpecialized	  go generalizable element    specialized go generalizable element    specialized get dependencies get rule name get children  
org.argouml.ui.ActionExportXMI	  action export xmi action export xmi action performed     uid  
org.argouml.ui.ArgoJFontChooser	  argo j font chooser argo j font chooser         get j list families get j button cancel get j content pane update preview get result name get result size                   ok get j list sizes get j button ok initialize j content pane j list families j list sizes j label families j label size j label preview j button ok j button cancel result size result name   ok  
org.argouml.persistence.OldZargoFilePersister	  old zargo file persister old zargo file persister   save enabled   load enabled do save get description   argo mini tee  
org.argouml.moduleloader.DetailsTabProvider	  details tab provider details tab provider get details tabs  
org.argouml.ui.cmd.ActionAdjustPageBreaks	  action adjust page breaks action adjust page breaks  
org.argouml.uml.cognitive.critics.ProfileGoodPractices	  profile good practices profile good practices get profile   get critic missing class name get critics load critics get display name critics critic missing class name  
org.argouml.uml.cognitive.critics.WizCueCards	  wizard cue cards wizard cue cards get number steps do action make panel can finish add cue cues  
org.argouml.uml.cognitive.critics.AbstractCrTooMany	  abstract critic too many abstract critic too many get threshold get wizard class set threshold critic threshold  
org.argouml.sequence2.diagram.FigHead	  figure head figure head set line color set line width get fill color set fill color set filled set bounds implement get minimum height get minimum width initialize get minimum size name figure stereotype figure rectangle figure default width default height  
org.argouml.uml.diagram.static_structure.layout.ClassdiagramGeneralizationEdge	  class diagram generalization edge class diagram generalization edge  
org.argouml.uml.cognitive.critics.CrMultipleInitialStates	  critic multiple initial states critic multiple initial states compute offenders still valid    do item get criticized design materials predicate        uid  
org.argouml.uml.diagram.ui.FigCompartmentBox	  figure compartment box figure compartment box     set line width get fill color set fill color set filled update stereotype text set standard bounds create big port figure add figure add compartment box surroundings calculate compartment box dimensions create contained model element get visible compartment count set compartment visible create compartments get compartment   compartment visible get compartments add compartment set compartment bounds show compartment initialize get minimum size translate mouse clicked get line width model changed   default compartment bounds compartments container box  assertions disabled  
org.argouml.ui.explorer.rules.GoStimulusToAction	  go stimulus    action go stimulus    action get dependencies get rule name get children  
org.argouml.notation.providers.uml.CallStateNotationUml	  call state notation uml call state notation uml get parsing help parse call state    string    string parse  
org.argouml.model.mdr.CopyHelper	  copy helper copy helper full copy copy model implement  
org.argouml.uml.diagram.state.ui.ButtonActionNewSignalEvent	  button action new signal event button action new signal event get key name get icon name create event  
org.argouml.model.AbstractActivityGraphsHelperDecorator	  abstract activity graphs helper decorator abstract activity graphs helper decorator add parameter find classifier by name find state by name remove content   adding activity graph allowed add in state set in states add content set synch get component set parameters set contents remove parameter implement  
org.argouml.uml.cognitive.critics.CrTooManyClasses	  critic too many classes critic too many classes get criticized design materials predicate  class threshold     uid  
org.argouml.gefext.ArgoFigPoly	  argo figure poly argo figure poly delete from model remove notification listener remove notification listener add notification listener get notification information notifier  
org.argouml.uml.cognitive.critics.WizBreakCircularComp	  wizard break circular component wizard break circular component get number steps can go next do action make panel can finish get options  get options    instructions  instructions  instructions  step  step  step  selected cls selected association  
org.argouml.cognitive.checklist.ui.TabChecklist	  tab checklist tab checklist target set target added target removed should be enabled find target set target internal resize columns get target set target refresh component hidden component moved component resized component shown action performed value changed target table model should be enabled table  
org.argouml.uml.ui.UMLExpressionLanguageField	  uml expression language field uml expression language field target changed target reasserted update insert update remove update changed update model notify model  
org.argouml.uml.ui.ActionCollaborationDiagram	  action collaboration diagram action collaboration diagram create diagram create diagram find namespace     uid  
org.argouml.ui.explorer.rules.GoClassifierToSequenceDiagram	  go classifier    sequence diagram go classifier    sequence diagram get dependencies get rule name get children  
org.argouml.persistence.ResolvedCriticXMLHelper	  resolved critic xml helper resolved critic xml helper get critic get offender list item  
org.argouml.uml.diagram.static_structure.ui.SelectionGeneralizableElement	  selection generalizable element selection generalizable element   edge post process requested get instructions get icons get new edge type   reverse edge mouse entered inherit icons instructions use composite  
org.argouml.ui.explorer.rules.GoClassifierToInstance	  go classifier    instance go classifier    instance get dependencies get rule name get children  
org.argouml.ui.cmd.PrintManager	  print manager print manager show page setup dialog get instance print print cmd instance  
org.argouml.uml.ui.foundation.extension_mechanisms.ActionNewTagDefinition	  action new tag definition action new tag definition action performed  
org.argouml.uml.ui.ActionSaveAllGraphics	  action save all graphics action save all graphics get file chooser try save diagram save graphics    file do command try save try save get save directory action performed show status   overwrite  
org.argouml.uml.ChildGenRelated	  child generator related child generator related generator get singleton singleton     uid  
